Seed Address,Seed Name,Depth Max,Length,Root Address,Root Name,Root Symbol,Path
02486920,FUN_02486920,5,2,02592574,switchD_02594864::caseD_2592574,,FUN_02486920 -> FUN_02592580 -> switchD_02594864::caseD_2592574
02486920,FUN_02486920,5,2,025cad80,FUN_025cad80,,FUN_02486920 -> FUN_032a5500 -> FUN_025cad80
02486920,FUN_02486920,5,2,02597d2c,switchD_02598d08::caseD_1,,FUN_02486920 -> FUN_02597d38 -> switchD_02598d08::caseD_1
02486920,FUN_02486920,5,3,02592484,switchD_025945f8::caseD_2592484,,FUN_02486920 -> FUN_02592580 -> FUN_02592490 -> switchD_025945f8::caseD_2592484
02486920,FUN_02486920,5,3,02597b5c,switchD_025989f0::caseD_1,,FUN_02486920 -> FUN_02597d38 -> FUN_02597b68 -> switchD_025989f0::caseD_1
02486920,FUN_02486920,5,4,02592394,switchD_025942e4::caseD_2592394,,FUN_02486920 -> FUN_02592580 -> FUN_02592490 -> FUN_025923a0 -> switchD_025942e4::caseD_2592394
02486920,FUN_02486920,5,4,025978ec,switchD_0259877c::caseD_1,,FUN_02486920 -> FUN_02597d38 -> FUN_02597b68 -> FUN_025978f8 -> switchD_0259877c::caseD_1
02486920,FUN_02486920,5,5,025921c0,FUN_025921c0,,FUN_02486920 -> FUN_02592580 -> FUN_02592490 -> FUN_025923a0 -> FUN_025922b0 -> FUN_025921c0
02486920,FUN_02486920,5,5,025922a4,switchD_02594200::caseD_1,,FUN_02486920 -> FUN_02592580 -> FUN_02592490 -> FUN_025923a0 -> FUN_025922b0 -> switchD_02594200::caseD_1
02486920,FUN_02486920,5,5,02597680,switchD_02598694::caseD_1,,FUN_02486920 -> FUN_02597d38 -> FUN_02597b68 -> FUN_025978f8 -> FUN_0259768c -> switchD_02598694::caseD_1
02486920,FUN_02486920,5,5,02597378,FUN_02597378,,FUN_02486920 -> FUN_02597d38 -> FUN_02597b68 -> FUN_025978f8 -> FUN_0259768c -> FUN_02597378
02486920,FUN_02486920,5,5,013588c0,FUN_013588c0,,FUN_02486920 -> FUN_0065ebe0 -> FUN_024932b0 -> FUN_024930d0 -> FUN_0249f020 -> FUN_013588c0
00017ab0,FUN_00017ab0,5,1,00017be0,FUN_00017be0,,FUN_00017ab0 -> FUN_00017be0
00017ab0,FUN_00017ab0,5,4,0001f0e0,FUN_0001f0e0,,FUN_00017ab0 -> FUN_0000ea40 -> FUN_0000bec0 -> FUN_0000bd80 -> FUN_0001f0e0
006daf20,FUN_006daf20,5,1,01654eb0,FUN_01654eb0,,FUN_006daf20 -> FUN_01654eb0
038fde90,FUN_038fde90,5,1,0390c820,FUN_0390c820,,FUN_038fde90 -> FUN_0390c820
038fde90,FUN_038fde90,5,1,038ff6b8,switchD_03907dec::caseD_0,,FUN_038fde90 -> switchD_03907dec::caseD_0
038fde90,FUN_038fde90,5,2,03908230,switchD_0390b334::caseD_0,,FUN_038fde90 -> FUN_03908630 -> switchD_0390b334::caseD_0
038fde90,FUN_038fde90,5,3,035ed4a0,FUN_035ed4a0,,FUN_038fde90 -> switchD_038ced74::caseD_a -> FUN_038b15a0 -> FUN_035ed4a0
038fde90,FUN_038fde90,5,4,035f51e4,FUN_035f51e4,,FUN_038fde90 -> switchD_038ced74::caseD_a -> FUN_038b15a0 -> FUN_038b1370 -> FUN_035f51e4
038fde90,FUN_038fde90,5,5,03635370,FUN_03635370,,FUN_038fde90 -> switchD_038ced74::caseD_a -> FUN_038b15a0 -> FUN_038b1370 -> FUN_0388e340 -> FUN_03635370
038fde90,FUN_038fde90,5,5,0390e430,FUN_0390e430,,FUN_038fde90 -> FUN_03908630 -> FUN_0390c580 -> FUN_0390d140 -> FUN_0390b2c0 -> FUN_0390e430
038fde90,FUN_038fde90,5,5,0390da60,FUN_0390da60,,FUN_038fde90 -> FUN_03908630 -> FUN_0390c580 -> FUN_0390d140 -> FUN_0390b2c0 -> FUN_0390da60
