Function Address,Function Offset,Function Name,Function Symbol,Function Demangled,Function Namespace,Function Signature,Function Size,Function Basic Blocks,Function Incoming Refs,Function Decompile Path,Function CFG Path,Function Disasm Path,Function Clone Hash,Function Fingerprint,Function Referenced By,External Names,Suggested Name,Hit Count,Match Values,Strings In Body,Struct Accesses,Constants,Globals Accessed,Comments,Callers,Callees
0307ffcc,0x307ffcc,FUN_0307ffcc,,,Global,"undefined __cdecl FUN_0307ffcc(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, undefined8 param_8, undefined8 param_9, size_t param_10, uint * param_11, uint * param_12, undefined1 * param_13, undefined1 * param_14, undefined1 * param_15)",3460,228,1,decompiled/FUN_0307ffcc__0307ffcc.c,decompiled/FUN_0307ffcc__0307ffcc.mmd,decompiled/FUN_0307ffcc__0307ffcc.asm,d7e01c51c9da8e5b,eb5280b88a3242a9f0031baae9031f2a8b010b8b0c01090b9f0100718ca58c1a,,,session,8,session,session_simple key,,0x100;0x108;0x110;0x118;0x152;0x1b1;0x2a1;0x2c2;0x2cb;0x2d9;0x2db;0x2df;0x2ea;0x300;0x302;0x310;0x31b;0x321;0x323;0x326;0x331;0x479;0x523;0x5cd;0x677;0x721;0x7de;0x8dc;0xa10;0xae2;0xc05;0xd28;...,DAT_04741dc0@04741dc0(r);SUB_04741dbb@04741dbb(r);DAT_04526000@04526000(rw);DAT_04526524@04526524(r);DAT_045263dc@045263dc(rw);DAT_04526474@04526474(r);UINT_045258a8@045258a8(rw);SUB_00000025+2@00000027(r);DAT_04741e87+1@04741e88(r);SUB_04741dbb@04741dbb(rw);SUB_04741dbc@04741dbc(r);SUB_04742dbb@04742dbb(r);DAT_04742dbc@04742dbc(r);DAT_04741dc0+3@04741dc3(r);DAT_0000cc5b@0000cc5b(rw);DAT_04741000@04741000(rw);...,,,FUN_03082270;FUN_0392dde0;f;FUN_03081d30;PIA_OnPacketReceived
02efeda0,0x2efeda0,FUN_02efeda0,,,Global,undefined FUN_02efeda0(void),295284,19272,0,,decompiled/FUN_02efeda0__02efeda0.mmd,decompiled/FUN_02efeda0__02efeda0.asm,,ffc301d1fc6f01a9fa6702a9f85f03a9f65704a9f44f05a9fd7b06a9fd830191,,,session,7,session,session_simple key,,,DAT_04741000@04741000(rw);SUB_04741dbb@04741dbb(r);DAT_0451f000@0451f000(rw);DAT_0451fae4@0451fae4(r);DAT_0451fa4c@0451fa4c(rw);DAT_00000704+4@00000708(rw);DAT_00006def@00006def(rw);DAT_0451fb00@0451fb00(r);DAT_0451fa68@0451fa68(rw);DAT_00000bb8@00000bb8(rw);DAT_00007fc9@00007fc9(rw);DAT_04741ffb+5@04742000(rw);SUB_04742dbb@04742dbb(r);DAT_0451fffc+4@04520000(rw);DAT_04520b1c@04520b1c(r);DAT_04520a84@04520a84(rw);...,,,FUN_03006040;FUN_00813760;FUN_02f90890;FUN_0392dde0;FUN_0302e980;FUN_02febd74;FUN_02f060c0;FUN_02f3e728;FUN_0302ed10;FUN_02f064a0;FUN_02f3f3c0;f;FUN_0302e95c;PIA_OnPacketReceived;FUN_02f06670
00133fe0,0x133fe0,FUN_00133fe0,,,Global,"undefined __cdecl FUN_00133fe0(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long * param_8, long param_9, uint param_10, undefined8 param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",3124,168,1,decompiled/FUN_00133fe0__00133fe0.c,decompiled/FUN_00133fe0__00133fe0.mmd,decompiled/FUN_00133fe0__00133fe0.asm,a2d46eb98b97f514,ff4304d1fc5b00f9fa670ca9f85f0da9f6570ea9f44f0fa9fd7b10a9fd030491,,,Session,2,Session,balloonScore_7650_base,,0xfffffef8;0x111;0x139;0x1b1;0x1e1;0x1f4;0x1f8;0x211;0x2ab;0x2bd;0x2c1;0x2da;0x374;0x386;0x38a;0x397;0x43c;0x44f;0x453;0x46c;0x530;0x534;0x541;0x5e2;0x5f4;0x5f8;0x611;0x6ab;0x6bd;0x6c1;0x6ce;0x770;...,DAT_052a4000@052a4000(rw);DAT_052a4be0@052a4be0(r);DAT_052a5000@052a5000(rw);DAT_052a5be8@052a5be8(r);DAT_04497000@04497000(rw);DAT_04497848@04497848(rw);DAT_052a5bf0@052a5bf0(r);DAT_052a5bf8@052a5bf8(r);DAT_04497848@04497848(r);DAT_0449784b@0449784b(r);DAT_04497849@04497849(r);DAT_0449784c@0449784c(r);DAT_0449784a@0449784a(r);DAT_0449784d@0449784d(r);DAT_052a4c00@052a4c00(r);DAT_052a4bf8@052a4bf8(r);...,,,nnsocketResolverSetOption;FUN_00135880;FUN_0013bb30;FUN_001387a0;FUN_0013bb40;FUN_00135980
0013e1c0,0x13e1c0,FUN_0013e1c0,,,Global,"undefined8 __cdecl FUN_0013e1c0(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long * param_8)",260,6,0,decompiled/FUN_0013e1c0__0013e1c0.c,decompiled/FUN_0013e1c0__0013e1c0.mmd,decompiled/FUN_0013e1c0__0013e1c0.asm,11cbc2f8f09827fc,ffc300d1f44f01a9fd7b02a9fd830091348b02d0944240f9f30300aa800240f9,,,Session,1,Session,E_chara_spring_summer,,0x1b1;0x3a0;0x42a126e;0x43abb3e,DAT_052a4000@052a4000(rw);DAT_052a4080@052a4080(r);DAT_052a4510@052a4510(r);s_ide_042a1000@042a1000(rw);s_mpleteProcess_042a128d@042a128d(rw);DAT_052a3000@052a3000(rw);DAT_052a3df0@052a3df0(r);DAT_052a4db8@052a4db8(r);s_E_chara_spring_summer_043ab000@043ab000(rw);s_Session_043abb68@043abb68(rw),,,FUN_00146ca0;FUN_00193480;FUN_00191b60
00141c50,0x141c50,FUN_00141c50,,,Global,undefined8 __cdecl FUN_00141c50(long * param_1),300,9,0,decompiled/FUN_00141c50__00141c50.c,decompiled/FUN_00141c50__00141c50.mmd,decompiled/FUN_00141c50__00141c50.asm,fdcc06aa29ca1834,ffc300d1f44f01a9fd7b02a9fd830091148b02f0944240f9f30300aa800240f9,,,Session,1,Session,,,0x101;0x162;0x168;0x180;0x1b1;0x3a0;0x4338623;0x434867f,DAT_052a4000@052a4000(rw);DAT_052a4080@052a4080(r);DAT_052a4448@052a4448(r);s_rguments_to_'%%b')_04338000@04338000(rw);s_ion_0433864d@0433864d(rw);DAT_052a4e48@052a4e48(r);s_tring_04348000@04348000(rw);s_SessionSetting_043486a6@043486a6(rw),,,FUN_00146ca0;FUN_00149390
00141000,0x141000,FUN_00141000,,,Global,"undefined __cdecl FUN_00141000(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long * param_8, undefined4 * param_9)",268,11,1,decompiled/FUN_00141000__00141000.c,decompiled/FUN_00141000__00141000.mmd,decompiled/FUN_00141000__00141000.asm,2c844dc3c2ee05a1,ff8301d1f85f02a9f65703a9f44f04a9fd7b05a9fd430191f30308aa082c40f9,,,Session,1,Session,,,0x1b1;0x6c05;0x10c08;0x428ff08,DAT_00010c08@00010c08(rw);DAT_052a4000@052a4000(rw);DAT_052a4df0@052a4df0(r);DAT_052a4c70@052a4c70(r);DAT_052a5000@052a5000(rw);DAT_052a5080@052a5080(r);DAT_052a4e10@052a4e10(r);s__WIND_0428f000@0428f000(rw);s_SessionJob::WaitUpdateSessionKey_0428ff15@0428ff15(rw),,,FUN_001932d0;f;FUN_000b4a90;SignalCancel;FUN_001922a0
00183a20,0x183a20,FUN_00183a20,,,Global,"undefined __cdecl FUN_00183a20(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8, undefined4 * param_9, byte param_10)",156,6,2,decompiled/FUN_00183a20__00183a20.c,decompiled/FUN_00183a20__00183a20.mmd,decompiled/FUN_00183a20__00183a20.asm,45b7bd56fadb2e6e,ff4301d1f65702a9f44f03a9fd7b04a9fd030191f30308aa084440f9087544b9,,,Session,1,Session,,,0x1b1;0x418;0x468;0x474;0x10c08;0x43ff81e,DAT_00000418@00000418(rw);DAT_052a5000@052a5000(rw);DAT_052a5440@052a5440(r);s_DAG._043ff000@043ff000(rw);s_SessionJob::WaitLeaveMesh_043ff822@043ff822(rw);DAT_00010c08@00010c08(rw),,FUN_00181e50;FUN_001805e0,f;FUN_000b41e0;SignalCancel
01124450,0x1124450,FUN_01124450,,,Global,"undefined __cdecl FUN_01124450(undefined1[16] param_1, undefined1[16] param_2, undefined1[16] param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, ulong param_8, long * param_9, uint param_10, undefined * UNRECOVERED_JUMPTABLE_03, undefined8 param_12, float * param_13, undefined * param_14, float * param_15, float * param_16)",50088,3022,0,decompiled/FUN_01124450__01124450.c,decompiled/FUN_01124450__01124450.mmd,decompiled/FUN_01124450__01124450.asm,264f94bf9c801696,ffc302d1e923056df93300f9f85f07a9f65708a9f44f09a9fd7b0aa9fd830291,,,session,1,session,session_simple key,,0x108;0x110;0x118;0x1b1;0x3d0;0x265f;0x2710;0x2895;0x2897;0x289e;0x2a7f;0x2b99;0x2c43;0x2ced;0x2d97;0x2e41;0x2eeb;0x2f95;0x3042;0x304a;0x30f7;0x3101;0x31ab;0x3255;0x32ff;0x34b0;0x3565;0x356f;0x3619;0x36c3;0x376d;0x3817;...,SUB_04741dbc@04741dbc(r);SUB_04741dbb@04741dbb(rw);SUB_04741dbc@04741dbc(rw);DAT_04741dc0@04741dc0(rw);DAT_00000021@00000021(r);DAT_00000025+4@00000029(r);SUB_00000025+2@00000027(r);DAT_0000ff6f@0000ff6f(rw);DAT_044e2000@044e2000(rw);DAT_044e2d14@044e2d14(rw);DAT_044e2d30@044e2d30(rw);DAT_0000e3c3@0000e3c3(rw);SUB_04741dbb@04741dbb(r);DAT_00003efe@00003efe(rw);DAT_04741dc0@04741dc0(r);DAT_0000320d@0000320d(rw);...,,,FUN_00771790;f;FUN_0392dde0;FUN_006cde20;FUN_0110e740;FUN_01124f68;FUN_01112b70;PIA_OnPacketReceived;FUN_01120620
03029ee8,0x3029ee8,FUN_03029ee8,,,Global,"undefined __cdecl FUN_03029ee8(long param_1, undefined1[16] param_2, undefined1[16] param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, undefined1[16] param_8, undefined8 param_9, undefined8 param_10, undefined * param_11, undefined * param_12, undefined * param_13, undefined * param_14, undefined * param_15, undefined1 * param_16, long param_17, undefined1 * param_18, undefined * param_19, undefined * param_20, undefined1 * param_21, undefined1 * param_22, long * param_23, long param_24, long * param_25, undefined * param_26, long * param_27, undefined * param_28, undefined * param_29, undefined * param_30, undefined * param_31, undefined * param_32, long * param_33, ulong param_34, ulong param_35, ulong param_36, ulong param_37, ulong param_38, ulong param_39, undefined * param_40, long * param_41, long * param_42, long * param_43, long * param_44, long * param_45, long * param_46, undefined8 param_47, long param_48, undefined * param_49, undefined * param_50, long param_51, undefined * param_52)",33692,2102,2,decompiled/FUN_03029ee8__03029ee8.c,decompiled/FUN_03029ee8__03029ee8.mmd,decompiled/FUN_03029ee8__03029ee8.asm,839eb3d097f93b3b,b20240f93f020071f1079f1a5212088b51320039f10140393f320071f1030baa,,,session,1,session,session_simple key,,0x101;0x110;0x120;0x198;0x1a0;0x1b1;0x1c0;0x1c8;0x300;0x308;0x310;0x3d0;0x3d8;0x3e0;0x3f0;0x3f8;0xb68;0xb70;0xb98;0xba8;0xbb0;0xbb8;0xbc0;0xbd8;0xda8;0xdd0;0xde0;0xb578;0xb580;0xb59d;0xb5e1;0xb5eb;...,SUB_04741dbb@04741dbb(r);SUB_04741dbc@04741dbc(r);DAT_04741dc0@04741dc0(r);DAT_04524df4@04524df4(r);DAT_04524d5c@04524d5c(rw);DAT_04741ffb+5@04742000(rw);SUB_04742dbb@04742dbb(r);DAT_04742dbc@04742dbc(r);DAT_00003d68@00003d68(rw);DAT_00001038+4@0000103c(rw);DAT_04742dc0@04742dc0(rw);DAT_04741000@04741000(rw);DAT_04742dc0@04742dc0(r);SUB_04742dbb@04742dbb(rw);DAT_04742dbc@04742dbc(rw);SUB_04741dbb@04741dbb(rw);...,,switchD_0302ed38::caseD_1;FUN_02efeda0,FUN_00771790;process_begin;f;FUN_03736840;FUN_0392dde0;FUN_0302ed10;FUN_025dd1f0;FUN_02627450;FUN_030c1270;FUN_025efc90;FUN_0260fc60;FUN_02404cf0;FUN_025f4a30
